web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1522067380-199	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	29-Jan-18	"11,755.50"	"11,875.60"	"11,179.20"	"11,296.40"	"7,107,360,000"	"197,871,000,000"
1522067380-133	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	28-Jan-18	"11,475.30"	"12,040.30"	"11,475.30"	"11,786.30"	"8,350,360,000"	"193,133,000,000"
1522067380-174	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	27-Jan-18	"11,174.90"	"11,614.90"	"10,989.20"	"11,440.70"	"7,583,270,000"	"188,054,000,000"
1522067380-182	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	26-Jan-18	"11,256.00"	"11,656.70"	"10,470.30"	"11,171.40"	"9,746,200,000"	"189,398,000,000"
1522067380-200	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	25-Jan-18	"11,421.70"	"11,785.70"	"11,057.40"	"11,259.40"	"8,873,170,000"	"192,163,000,000"
1522067380-189	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	24-Jan-18	"10,903.40"	"11,501.40"	"10,639.80"	"11,359.40"	"9,940,990,000"	"183,419,000,000"
1522067380-158	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	23-Jan-18	"10,944.50"	"11,377.60"	"10,129.70"	"10,868.40"	"9,660,610,000"	"184,087,000,000"
1522067380-201	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	22-Jan-18	"11,633.10"	"11,966.40"	"10,240.20"	"10,931.40"	"10,537,400,000"	"195,645,000,000"
1522067380-137	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	21-Jan-18	"12,889.20"	"12,895.90"	"11,288.20"	"11,600.10"	"9,935,180,000"	"216,740,000,000"
1522067380-152	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	20-Jan-18	"11,656.20"	"13,103.00"	"11,656.20"	"12,899.20"	"11,801,700,000"	"195,979,000,000"
1522067380-151	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	19-Jan-18	"11,429.80"	"11,992.80"	"11,172.10"	"11,607.40"	"10,740,400,000"	"192,150,000,000"
1522067380-154	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	18-Jan-18	"11,198.80"	"12,107.30"	"10,942.50"	"11,474.90"	"15,020,400,000"	"188,242,000,000"
1522067380-136	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	17-Jan-18	"11,431.10"	"11,678.00"	"9,402.29"	"11,188.60"	"18,830,600,000"	"192,123,000,000"
1522067380-163	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	16-Jan-18	"13,836.10"	"13,843.10"	"10,194.90"	"11,490.50"	"18,853,800,000"	"232,517,000,000"
1522067380-149	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	15-Jan-18	"13,767.30"	"14,445.50"	"13,641.70"	"13,819.80"	"12,750,800,000"	"231,334,000,000"
1522067380-159	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	14-Jan-18	"14,370.80"	"14,511.80"	"13,268.00"	"13,772.00"	"11,084,100,000"	"241,447,000,000"
1522067380-145	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	13-Jan-18	"13,952.40"	"14,659.50"	"13,952.40"	"14,360.20"	"12,763,600,000"	"234,391,000,000"
1522067380-193	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	12-Jan-18	"13,453.90"	"14,229.90"	"13,158.10"	"13,980.60"	"12,065,700,000"	"225,986,000,000"
1522067380-213	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	11-Jan-18	"14,968.20"	"15,018.80"	"13,105.90"	"13,405.80"	"16,534,100,000"	"251,387,000,000"
1522067380-203	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	10-Jan-18	"14,588.50"	"14,973.30"	"13,691.20"	"14,973.30"	"18,500,800,000"	"244,981,000,000"
